City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
115,Ancud,CL,-41.8697,-73.8203,63.93,84,76,8.12,broken clouds
116,Lusaka,ZM,-15.4067,28.2871,67.68,46,0,3.89,clear sky
117,Hongjiang,CN,27.11,109.9956,75.22,84,0,3.53,clear sky
118,Saint-Philippe,RE,-21.3585,55.7679,71.19,82,45,12.55,scattered clouds
119,Kahului,US,20.8947,-156.47,85.96,66,20,21.85,few clouds
120,Kindersley,CA,51.4668,-109.1682,64.18,23,40,9.22,scattered clouds
121,Newport,GB,51.5877,-2.9984,65.17,92,53,7.11,broken clouds
122,Cidreira,BR,-30.1811,-50.2056,65.77,77,22,9.35,few clouds
123,New Norfolk,AU,-42.7826,147.0587,39.7,77,9,1.01,clear sky
124,Severo-Yeniseyskiy,RU,60.3725,93.0408,24.98,99,97,3.06,overcast clouds
125,Batsfjord,NO,70.6345,29.7185,48.42,81,75,6.91,broken clouds
126,Nsanje,MW,-16.92,35.262,74.16,64,0,5.86,clear sky
127,Roald,NO,62.5833,6.1333,54.1,93,75,29.93,broken clouds
128,Turukhansk,RU,65.8167,87.9833,28.9,87,14,9.75,few clouds
129,Mumford,GH,5.2618,-0.759,77.85,89,47,11.16,light rain
130,Guerrero Negro,MX,27.9769,-114.0611,77.38,60,100,13.42,overcast clouds
131,San Ramon,US,37.7799,-121.978,93.74,37,1,3.0,clear sky
132,Lubao,PH,14.9167,120.55,82.42,85,7,3.02,clear sky
133,Ponta Do Sol,PT,32.6667,-17.1,72.23,72,28,3.58,scattered clouds
134,Grindavik,IS,63.8424,-22.4338,45.07,76,75,8.05,broken clouds
135,Dzhebariki-Khaya,RU,62.2167,135.8,43.95,89,100,4.92,overcast clouds
136,San Quintin,MX,30.4833,-115.95,75.2,63,6,11.14,clear sky
137,Mayo,US,38.8876,-76.5119,76.42,42,1,3.0,clear sky
138,Tatawin,TN,32.9297,10.4518,92.28,56,13,4.14,few clouds
139,Mount Isa,AU,-20.7333,139.5,65.97,15,3,9.22,clear sky
140,Asau,RO,46.4333,26.4,50.76,84,100,6.02,overcast clouds
141,Pisco,PE,-13.7,-76.2167,66.02,82,20,10.36,mist
142,Bredasdorp,ZA,-34.5322,20.0403,52.92,82,34,3.44,scattered clouds
143,Faanui,PF,-16.4833,-151.75,76.32,62,0,1.77,clear sky
144,Esperance,AU,-33.8667,121.9,44.44,85,59,10.71,broken clouds
145,Sisimiut,GL,66.9395,-53.6735,33.84,67,10,8.5,clear sky
146,Stromness,GB,58.965,-3.296,53.85,91,100,11.01,overcast clouds
147,Ostrovnoy,RU,68.0531,39.5131,48.13,87,100,20.02,overcast clouds
148,Isangel,VU,-19.55,169.2667,68.11,83,98,5.75,overcast clouds
149,Totness,SR,5.8833,-56.3167,84.69,74,100,11.12,overcast clouds
150,Hermanus,ZA,-34.4187,19.2345,57.9,86,37,2.66,scattered clouds
151,Touros,BR,-5.1989,-35.4608,83.3,74,41,17.07,scattered clouds
152,Broken Hill,AU,-31.95,141.4333,47.91,66,0,11.5,clear sky
153,Mandalgovi,MN,45.7625,106.2708,55.35,71,100,9.89,overcast clouds
154,Ribeira Grande,PT,38.5167,-28.7,72.0,73,40,14.97,scattered clouds
155,Kampong Thum,KH,12.7111,104.8887,74.1,96,100,4.97,light rain
156,Srandakan,ID,-7.9386,110.2506,75.4,90,75,5.03,broken clouds
157,Bandarbeyla,SO,9.4942,50.8122,80.26,66,100,23.47,light rain
158,Almaznyy,RU,48.0448,40.045,50.14,83,100,8.46,light rain
159,Port Lincoln,AU,-34.7333,135.8667,52.63,71,100,10.04,overcast clouds
160,Hobart,AU,-42.8794,147.3294,40.05,75,12,1.01,few clouds
161,Porto Novo,BJ,6.4965,2.6036,80.42,84,44,5.44,scattered clouds
162,Seoul,KR,37.5683,126.9778,67.44,82,0,5.75,clear sky
163,Sanjwal,PK,33.7608,72.4336,79.95,64,0,4.29,clear sky
164,Dzheguta,RU,43.9671,42.0426,43.05,90,60,3.44,broken clouds
165,Alofi,NU,-19.0595,-169.9187,76.89,78,100,8.05,overcast clouds
166,Karratha,AU,-20.7377,116.8463,70.88,43,7,10.18,light rain
167,Tura,IN,25.5198,90.2201,74.97,91,9,3.31,clear sky
168,Atasu,KZ,48.6814,71.6433,41.31,38,0,8.05,clear sky
169,Kalmunai,LK,7.4167,81.8167,78.8,86,82,6.69,broken clouds
170,Iqaluit,CA,63.7506,-68.5145,33.53,80,20,8.99,few clouds
171,Praya,CV,14.9215,-23.5087,81.14,74,40,13.8,haze
172,Sioux Lookout,CA,50.1001,-91.917,55.78,50,90,12.66,overcast clouds
173,Pangnirtung,CA,66.1451,-65.7125,39.2,56,20,6.91,few clouds
174,Severo-Kurilsk,RU,50.6789,156.125,47.89,92,100,29.53,light rain
175,Rio Grande,BR,-32.035,-52.0986,68.11,82,33,13.94,scattered clouds
176,Itupiranga,BR,-5.1347,-49.3267,89.92,42,98,1.36,overcast clouds
177,Alice Springs,AU,-23.7,133.8833,51.35,32,72,0.0,broken clouds
178,Vardo,NO,70.3705,31.1107,48.4,87,75,11.5,broken clouds
179,Mount Pleasant,US,32.7941,-79.8626,80.06,46,1,4.0,clear sky
180,Oranjestad,AW,12.524,-70.027,89.55,66,20,23.02,few clouds
181,Codrington,AU,-38.2667,141.9667,46.58,69,99,14.5,overcast clouds
182,Nikolskoye,RU,59.7035,30.7861,48.02,88,100,5.75,overcast clouds
183,Cherskiy,RU,68.75,161.3,27.97,97,99,9.33,light snow
184,Tuatapere,NZ,-46.1333,167.6833,50.83,71,57,12.53,moderate rain
185,Cody,US,44.5263,-109.0565,70.92,31,1,3.44,clear sky
186,Chipinge,ZW,-20.1883,32.6236,59.18,53,0,6.06,clear sky
187,Ukiah,US,39.1502,-123.2078,97.12,20,1,0.0,clear sky
188,Cienfuegos,CU,22.1461,-80.4356,90.41,58,40,6.91,light rain
189,Prince Rupert,CA,54.3161,-130.3201,53.69,100,90,10.36,light rain
190,Bay Roberts,CA,47.5999,-53.2648,53.06,76,17,11.01,few clouds
191,Pierre,US,44.3683,-100.351,72.0,29,1,1.01,clear sky
192,Sinnamary,GF,5.3833,-52.95,84.74,72,38,11.01,scattered clouds
193,Zhigansk,RU,66.7697,123.3711,34.86,80,100,15.48,overcast clouds
194,Solnechnyy,RU,50.7214,136.6319,43.65,80,11,3.02,few clouds
195,Jining,CN,35.405,116.5814,65.17,92,100,21.25,heavy intensity rain
196,Onega,RU,63.9061,38.1404,46.98,93,100,11.56,overcast clouds
197,Evensk,RU,61.95,159.2333,39.63,77,29,1.41,scattered clouds
198,Matagami,CA,49.7502,-77.6328,57.31,94,75,11.5,broken clouds
199,Wewak,PG,-3.5534,143.6268,77.81,87,100,6.22,overcast clouds
200,Tshikapa,CD,-6.4167,20.8,73.02,76,95,3.67,overcast clouds
201,Oktyabrskiy,RU,54.4815,53.471,50.58,55,100,11.74,light rain
202,Beloha,MG,-25.1667,45.05,74.32,56,1,8.81,clear sky
203,Jaguey Grande,CU,22.5269,-81.1286,88.45,62,51,1.81,light rain
204,Asyut,EG,27.181,31.1837,82.58,38,0,13.71,clear sky
205,Chimore,BO,-16.9833,-65.1333,99.68,20,0,3.58,clear sky
206,Mosquera,CO,4.7059,-74.2302,64.49,48,20,17.27,few clouds
207,Baganga,PH,7.5739,126.56,78.31,87,100,3.94,moderate rain
208,Taraz,KZ,42.9,71.3667,52.21,32,0,8.95,clear sky
209,Moose Factory,CA,51.2585,-80.6094,55.4,82,90,14.97,overcast clouds
210,Zavitinsk,RU,50.1167,129.45,47.35,80,100,4.94,overcast clouds
211,Palmer,US,42.1584,-72.3287,72.43,70,75,6.91,broken clouds
212,Mazamari,PE,-11.3258,-74.5308,85.95,43,95,2.35,overcast clouds
213,Rawtenstall,GB,53.7008,-2.2844,65.73,95,100,11.3,overcast clouds
214,Caravelas,BR,-17.7125,-39.2481,72.77,67,75,8.05,broken clouds
215,Panguipulli,CL,-39.6333,-72.3333,53.31,40,12,3.98,few clouds
216,Acapulco,MX,16.8634,-99.8901,85.68,74,98,7.18,overcast clouds
217,Hobyo,SO,5.3505,48.5268,78.04,85,100,21.16,overcast clouds
218,Bathsheba,BB,13.2167,-59.5167,90.21,62,40,8.05,scattered clouds
219,Dikson,RU,73.5069,80.5464,35.64,84,77,16.24,broken clouds
220,Byron Bay,AU,-28.65,153.6167,60.75,76,0,4.94,clear sky
221,Georgiyevskaya,RU,44.1114,43.4922,57.04,77,100,2.93,overcast clouds
222,Bereda,ES,43.2686,-7.5406,63.57,100,35,3.69,scattered clouds
223,Lovozero,RU,68.005,35.0117,44.11,96,100,15.28,overcast clouds
224,Yenagoa,NG,4.9247,6.2642,75.61,92,100,2.82,overcast clouds
225,Suntar,RU,62.1444,117.6319,33.62,95,17,1.74,few clouds
