City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
81,Catamarca,AR,81.77,clear sky,-28.4696,-65.7852,Amerian Catamarca Park Hotel
84,Vieux Fort,LC,87.15,scattered clouds,13.7167,-60.95,Cedar Palm Villa
86,Naifaru,MV,81.28,overcast clouds,5.4444,73.3657,Naifaru Residence Guest House
87,Kavaratti,IN,81.81,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
88,Bengkulu,ID,75.27,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
109,Kibala,TD,78.75,light rain,9.1104,18.3463,hotel safari
117,Hongjiang,CN,75.22,clear sky,27.11,109.9956,洪江大酒店
119,Kahului,US,85.96,few clouds,20.8947,-156.47,Maui Seaside Hotel
129,Mumford,GH,77.85,light rain,5.2618,-0.759,Spanish Villa
130,Guerrero Negro,MX,77.38,overcast clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
132,Lubao,PH,82.42,clear sky,14.9167,120.55,Hacienda Gracia
136,San Quintin,MX,75.2,clear sky,30.4833,-115.95,Don Eddie's Sport Fishing Center
137,Mayo,US,76.42,clear sky,38.8876,-76.5119,Resorts Resource Group International
143,Faanui,PF,76.32,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
149,Totness,SR,84.69,overcast clouds,5.8833,-56.3167,STAATS LOGEERGEBOUW TOTNESS
151,Touros,BR,83.3,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
156,Srandakan,ID,75.4,broken clouds,-7.9386,110.2506,Puri Brata
157,Bandarbeyla,SO,80.26,light rain,9.4942,50.8122,JABIR HOTEL
161,Porto Novo,BJ,80.42,scattered clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
163,Sanjwal,PK,79.95,clear sky,33.7608,72.4336,لبیک یارسول اللہ ہوٹل
165,Alofi,NU,76.89,overcast clouds,-19.0595,-169.9187,Taloa Heights
169,Kalmunai,LK,78.8,broken clouds,7.4167,81.8167,VS Villa
171,Praya,CV,81.14,haze,14.9215,-23.5087,LT Aparthotel
176,Itupiranga,BR,89.92,overcast clouds,-5.1347,-49.3267,Hotel Panorama
179,Mount Pleasant,US,80.06,clear sky,32.7941,-79.8626,Best Western Patriots Point
180,Oranjestad,AW,89.55,few clouds,12.524,-70.027,Divi Village Golf & Beach Resort
192,Sinnamary,GF,84.74,scattered clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
199,Wewak,PG,77.81,overcast clouds,-3.5534,143.6268,In Wewak Boutique Hotel
203,Jaguey Grande,CU,88.45,light rain,22.5269,-81.1286,Hostal lleana
204,Asyut,EG,82.58,clear sky,27.181,31.1837,Florence Hotel Assiut
207,Baganga,PH,78.31,moderate rain,7.5739,126.56,Baganga Rgd Inn
212,Mazamari,PE,85.95,overcast clouds,-11.3258,-74.5308,Hospedaje Ratto
