City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
281,Mount Isa,AU,-20.7333,139.5,69.57,11,84,16.11
282,Monduli,TZ,-3.3,36.45,57.51,92,44,3.98
283,Bressanone,IT,46.715,11.656,53.19,87,38,2.26
284,Kang,BW,-23.6752,22.7876,56.89,12,0,8.3
285,Muroto,JP,33.2833,134.15,80.64,79,81,8.05
286,Semporna,MY,4.4818,118.6112,82.6,87,100,4.88
287,Tres Lagoas,BR,-20.7511,-51.6783,86.22,24,7,13.22
288,Sorong,ID,-0.8833,131.25,82.27,78,100,5.41
289,Esfarayen,IR,37.0765,57.5101,56.86,40,45,1.61
290,Inhambane,MZ,-23.865,35.3833,69.96,69,99,16.4
291,Tevriz,RU,57.509,72.4042,37.85,98,100,5.23
292,Talnakh,RU,69.4865,88.3972,33.21,78,23,2.21
293,Shinpokh,PK,34.3292,71.1782,76.41,83,8,4.14
294,Modasa,IN,23.4667,73.3,76.71,92,70,5.99
295,Beringovskiy,RU,63.05,179.3167,37.4,76,100,10.11
296,Koster,ZA,-25.863,26.8976,49.39,89,38,13.24
297,Atasu,KZ,48.6814,71.6433,35.94,60,96,7.58
298,Kudahuvadhoo,MV,2.6708,72.8944,83.88,72,25,16.98
299,Kincardine,GB,56.0667,-3.7167,61.84,93,24,13.06
300,Klaebu,NO,63.2976,10.4826,52.05,74,100,7.27
301,Borovskoy,KZ,53.8,64.15,34.59,78,0,7.74
302,Shiraz,IR,29.6036,52.5388,68.86,21,0,4.65
303,Kijang,KR,35.2442,129.2139,78.53,67,0,11.43
304,Snyder,US,32.7179,-100.9176,70.14,32,1,4.61
305,Belaya Gora,RU,68.5333,146.4167,37.17,49,100,4.47
306,Warrington,GB,53.3925,-2.5802,58.48,92,20,1.01
307,Roma,US,43.2128,-75.4557,69.44,78,75,10.36
308,Windhoek,NA,-22.5594,17.0832,61.0,18,7,5.75
309,Nishihara,JP,26.1842,127.7558,85.66,79,20,6.91
310,Pevek,RU,69.7008,170.3133,27.25,76,99,11.36
311,San Rafael Del Sur,NI,11.8485,-86.4384,76.17,80,85,5.59
312,Raga,SS,8.4596,25.678,68.09,98,99,4.41
313,Banjar,ID,-8.19,114.9675,84.06,63,62,3.04
314,Frontera,MX,26.9333,-101.45,71.2,83,84,10.31
315,Mehran,IR,33.1222,46.1646,80.71,21,0,9.33
316,Pacifica,US,37.6138,-122.4869,92.82,68,20,4.0
317,Murupara,NZ,-38.4667,176.7,60.57,68,100,7.92
318,Half Moon Bay,US,37.4636,-122.4286,89.29,58,1,9.22
319,Lazaro Cardenas,MX,17.9583,-102.2,79.9,83,7,4.94
320,Atar,MR,20.5169,-13.0499,86.72,21,3,9.75
321,Vostok,RU,46.4856,135.8833,54.01,97,100,1.97
322,Chirongui,YT,-12.9319,45.1483,75.13,77,50,8.46
323,Port-Gentil,GA,-0.7193,8.7815,77.67,81,100,11.52
324,Bontang,ID,0.1333,117.5,75.52,86,100,2.21
325,San Pedro,PH,14.35,121.0167,88.83,69,40,8.05
326,Jiexiu,CN,37.0244,111.9125,73.51,44,100,2.91
327,New Waterford,US,40.8451,-80.6145,68.05,91,100,1.01
328,Luanda,AO,-8.8368,13.2343,71.6,88,75,6.91
329,Kuching,MY,1.55,110.3333,84.42,70,20,3.44
330,Pangnirtung,CA,66.1451,-65.7125,31.69,61,89,4.76
331,Srednekolymsk,RU,67.45,153.6833,39.06,36,95,8.16
332,Kamaishi,JP,39.2667,141.8833,74.35,72,0,11.18
333,Toamasina,MG,-18.1667,49.3833,66.2,94,40,4.61
334,Huarmey,PE,-10.0681,-78.1522,63.82,84,93,8.16
335,Baykit,RU,61.67,96.37,36.91,98,100,4.23
336,Olafsvik,IS,64.8945,-23.7142,38.62,79,100,5.77
337,La Seyne-Sur-Mer,FR,43.0982,5.8847,67.87,66,2,1.01
338,Port Elizabeth,ZA,-33.918,25.5701,48.49,93,0,2.3
339,Stege,DK,54.987,12.2846,55.06,87,100,13.22
340,Malokaterynivka,UA,47.6525,35.2539,47.12,74,99,10.98
341,Tazovskiy,RU,67.4667,78.7,30.54,82,15,14.92
342,Udachnyy,RU,66.4167,112.4,38.26,88,100,5.06
343,Carros,FR,43.7894,7.184,67.73,71,0,9.22
344,Champerico,GT,14.3,-91.9167,84.34,80,100,3.18
345,Meppel,NL,52.6958,6.1944,54.95,93,99,5.93
346,Walvis Bay,NA,-22.9575,14.5053,55.09,100,5,6.91
347,Lodwar,KE,3.1191,35.5973,81.39,50,72,9.19
348,Arua,UG,3.0201,30.9111,62.11,93,100,3.58
349,Santa Maria,BR,-29.6842,-53.8069,56.5,67,0,10.36
350,Narsaq,GL,60.9167,-46.05,35.82,82,100,1.1
351,Linxia,CN,35.6003,103.2064,58.78,66,100,7.11
352,Morant Bay,JM,17.8815,-76.4093,82.02,82,16,4.45
353,La Palma,US,33.8464,-118.0467,100.67,48,20,5.01
354,Springdale,US,36.1867,-94.1288,64.51,60,1,10.36
355,Sangmelima,CM,2.9333,11.9833,67.01,99,98,4.34
356,Kruisfontein,ZA,-34.0033,24.7314,44.89,87,3,4.36
357,Bairiki,KI,1.3292,172.9752,87.8,66,20,12.66
358,Kavaratti,IN,10.5669,72.642,81.59,79,96,17.02
359,Deputatskiy,RU,69.3,139.9,35.76,59,100,2.3
360,Saldanha,ZA,-33.0117,17.9442,50.05,58,15,8.61
361,Canaries,ES,28.0,-15.5,66.4,70,20,5.01
362,Pedernales,DO,18.0384,-71.744,81.95,77,69,3.96
363,Vestmanna,FO,62.1564,-7.1664,49.12,87,75,21.85
364,Ames,US,42.0347,-93.6199,64.42,68,1,1.01
365,Labuhan,ID,-6.8844,112.2051,84.67,63,51,7.58
366,Novoorsk,RU,51.381,58.9813,41.65,51,88,4.72
367,Shingu,JP,33.7333,135.9833,77.99,78,37,3.4
368,Amazar,RU,53.858,120.875,59.11,63,49,8.37
369,Aden,YE,12.7794,45.0367,85.44,72,74,11.74
370,Severo-Yeniseyskiy,RU,60.3725,93.0408,28.76,90,100,8.75
371,Elbistan,TR,38.2059,37.1983,61.05,47,0,2.21
372,Ginir,ET,7.1333,40.7,60.12,77,75,8.43
373,Pocatello,US,42.8713,-112.4455,66.11,34,1,8.01
374,Bage,BR,-31.3314,-54.1069,48.81,94,54,6.85
375,Bambous Virieux,MU,-20.3428,57.7575,70.05,64,40,5.75
376,Flinders,AU,-34.5833,150.8552,68.05,51,7,5.99
377,Porto Walter,BR,-8.2686,-72.7439,72.7,96,100,0.87
378,Tilichiki,RU,60.4667,166.1,45.07,92,100,8.34
379,Mahibadhoo,MV,3.7833,72.9667,84.36,72,1,14.9
380,Portobelo,PA,9.55,-79.65,77.41,79,100,0.98
381,Dreux,FR,48.6667,1.25,49.98,84,18,5.44
382,Abu Samrah,SY,35.3029,37.1841,71.58,46,0,6.69
383,Chute-Aux-Outardes,CA,49.1168,-68.399,67.41,82,1,6.91
384,Kharp,RU,66.8014,65.8081,37.62,92,91,5.39
385,Torbay,CA,47.6666,-52.7314,56.57,81,20,19.57
386,Aklavik,CA,68.2191,-135.0107,38.23,75,100,11.23
387,Camana,PE,-16.6228,-72.7111,61.99,84,100,9.15
388,Vikhorevka,RU,56.1201,101.1636,38.79,62,23,5.28
389,Saint Pete Beach,US,27.7253,-82.7412,78.85,87,75,1.01
390,Vila Franca Do Campo,PT,37.7167,-25.4333,70.21,84,15,7.16
391,Maceio,BR,-9.6658,-35.7353,74.64,94,40,3.44
392,Puerto Ayacucho,VE,5.6639,-67.6236,76.57,88,96,3.44
393,Samarai,PG,-10.6167,150.6667,79.05,80,81,15.97
394,Hofn,IS,64.2539,-15.2082,45.1,61,100,17.72
395,Kaitangata,NZ,-46.2817,169.8464,56.17,49,6,1.83
396,Grand Gaube,MU,-20.0064,57.6608,70.2,68,6,5.01
397,San Quintin,MX,30.4833,-115.95,72.95,74,0,9.57
398,Edea,CM,3.8,10.1333,76.78,98,100,1.23
399,Vardo,NO,70.3705,31.1107,40.23,78,6,30.6
400,The Valley,AI,18.217,-63.0578,84.06,76,13,13.94
401,Lebu,CL,-37.6167,-73.65,50.16,89,41,2.24
402,Buala,SB,-8.145,159.5921,85.69,68,20,5.84
403,Telsiai,LT,55.9814,22.2472,43.63,86,100,6.49
404,Ambilobe,MG,-13.2,49.05,66.85,79,33,3.91
405,Calvia,ES,39.5657,2.5062,69.08,82,3,9.84
406,Moroni,KM,-11.7022,43.2551,74.68,73,6,1.9
407,Korla,CN,41.7597,86.1469,72.39,25,5,15.08
408,San Felipe,VE,10.3399,-68.7425,73.38,95,100,3.38
409,Hovd,MN,48.0056,91.6419,43.7,41,0,3.44
410,Mayo,US,38.8876,-76.5119,75.61,86,75,10.0
411,Zemio,CF,5.0314,25.1361,66.76,98,98,1.74
412,Lakes Entrance,AU,-37.8811,147.981,65.16,69,60,8.34
413,Nhulunbuy,AU,-12.2333,136.7667,83.01,44,0,27.63
